trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
90,False,"{'a': 0.5, 'e': 0.9767615579528446}",35,20,-73.23761009102522,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.9764865416507789}",25,0,-166.96491360515694,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
92,False,"{'a': 0.5, 'e': 0.9762094784446705}",20,0,-132.57415518742016,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
93,False,"{'a': 0.5, 'e': 0.9759303543623535}",20,12,-23.777419430902626,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.9756491553559083}",35,0,-167.82104694976917,"{0: 21, 1: 3, 2: 8, 3: 1, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.9753658673015663}",20,0,-62.00661344226167,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.9750804759996188}",20,0,-131.05322007173294,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.9747929671743337}",20,0,-156.04168432782635,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
98,False,"{'a': 0.5, 'e': 0.9745033264738764}",20,0,-135.04887683541494,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.9742115394702384}",20,9,-26.821049623952867,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.9739175916591709}",20,0,-92.47737360971102,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.9736214684601259}",20,0,-30.829190733729405,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.9733231552162033}",20,0,-147.29392209324135,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.9730226371941044}",20,0,-122.55300701413508,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.972719899584093}",20,0,-70.68763654991375,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.9724149274999629}",25,0,-43.11306003916025,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.972107705979012}",20,4,-83.80039370214351,"{0: 5, 1: 4, 2: 7, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.9717982199820248}",25,0,-133.18762943493047,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.9714864543932609}",20,0,-119.43470200792791,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.9711723940204524}",20,0,-71.25539500803579,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.9708560235948069}",20,0,-95.01894153305258,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.97053732777102}",20,0,-177.09303823865446,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
112,False,"{'a': 0.5, 'e': 0.9702162911272953}",20,0,-73.34123919285264,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.9698928981653714}",30,7,-31.107087888975013,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.9695671333105584}",20,0,-91.71155314949497,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.9692389809117816}",20,0,-109.42439408405608,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.9689084252416339}",25,0,-44.11341200353513,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.9685754504964379}",30,0,-178.9517552362104,"{0: 18, 1: 0, 2: 8, 3: 2, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.9682400407963144}",20,0,-98.09848708636908,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.9679021801852621}",20,0,-71.7490348667958,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.9675618526312451}",20,0,-33.00476668943465,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.9672190420262893}",25,0,-64.52015265750791,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.9668737321865888}",25,0,-99.04195638663926,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.9665259068526222}",25,6,-63.28679687502682,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.9661755496892768}",20,0,-89.89791744160159,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.9658226442859846}",20,0,-145.41758809077837,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
126,False,"{'a': 0.5, 'e': 0.9654671741568663}",25,14,-7.304888506154217,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.965109122740888}",25,0,-120.4656449085031,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.9647484734020242}",20,2,-96.93966956415235,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
